Country,Year,Modern,Traditional
Bangladesh,2017,51.9,10
Bangladesh,2014,54.1,8.4
Bangladesh,2011,52.1,9.2
Bangladesh,2007,47.5,8.3
Bangladesh,2004,47.6,10.8
Bangladesh,1999,44,10.3
Bangladesh,1996,42.1,7.7
Bangladesh,1993,36.6,8.3
Benin,2017,12.4,3.1
Benin,2011,7.9,5
Benin,2006,6.1,10.9
Benin,2001,7.2,11.4
Benin,1996,3.4,13
Burkina Faso,2010,15,1.1
Burkina Faso,2003,8.8,5
Burkina Faso,1998,4.8,7
Burkina Faso,1993,4.2,20.7
Cameroon,2018,15.4,3.9
Cameroon,2011,14.4,8.9
Cameroon,2004,12.5,13.5
Cameroon,1998,7.1,12.3
Cameroon,1991,4.3,11.8
